name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Healer's Hawk",1,"Creature - Bird",W,"fdn","142",common,White,Not Owned,Non-foil,false,,,"","",133310
"Healer's Hawk",1,"Creature - Bird",W,"fdn","142",common,White,Not Owned,Non-foil,false,,,"","",133310
"Hinterland Sanctifier",1,"Creature - Rabbit Cleric",W,"fdn","730",common,White,Not Owned,Non-foil,false,,,"","",134902
"Leonin Vanguard",1,"Creature - Cat Soldier",W,"fdn","499",uncommon,White,Not Owned,Non-foil,false,,,"","",134770
"Ajani's Pridemate",2,"Creature - Cat Soldier",W,"fdn","135",uncommon,White,Not Owned,Non-foil,false,,,"","",133296
"Cathar Commando",2,"Creature - Human Soldier",W,"fdn","139",common,White,Not Owned,Non-foil,false,,,"","",133304
"Charming Prince",2,"Creature - Human Noble",W,"fdn","568",rare,White,Not Owned,Non-foil,false,,,"","",134472
"Dawnwing Marshal",2,"Creature - Cat Soldier",W,"fdn","570",uncommon,White,Not Owned,Non-foil,false,,,"","",134476
"Giada, Font of Hope",2,"Legendary Creature - Angel",W,"fdn","141",rare,White,Not Owned,Non-foil,false,,,"","",133308
